#TYPE System.Management.Automation.PSCustomObject
"IsNet6","URL","Name","Size","SHA1"
"False","https://f001.backblazeb2.com/file/EricZimmermanTools/ShellBagsExplorer.zip","ShellBagsExplorer.zip","77989497","150fdef9af9bc4a962373e76b2bbc5f57f19ddcd"
"True","https://f001.backblazeb2.com/file/EricZimmermanTools/net6/ShellBagsExplorer.zip","ShellBagsExplorer.zip","83321959","5b08e0ab372081f548e0660bebffeaae8b584158"
"False","https://f001.backblazeb2.com/file/EricZimmermanTools/SQLECmd.zip","SQLECmd.zip","6838917","07791cb63335bb05dbcd12b07f874771dae2e9bb"
"True","https://f001.backblazeb2.com/file/EricZimmermanTools/net6/SQLECmd.zip","SQLECmd.zip","5283482","267f89a23cf9f6fe946b1c339974701a618c0638"
"False","https://f001.backblazeb2.com/file/EricZimmermanTools/SrumECmd.zip","SrumECmd.zip","4447389","49d39a096f206a59545685d9dae92050620dce97"
"True","https://f001.backblazeb2.com/file/EricZimmermanTools/net6/SrumECmd.zip","SrumECmd.zip","2400622","5d9fb12673d947e37e85ac1d87d20f8a66dcd1fc"
"False","https://f001.backblazeb2.com/file/EricZimmermanTools/SumECmd.zip","SumECmd.zip","3603159","ebef2f5a48d60360737cc7ad3f30f3950d7e1661"
"True","https://f001.backblazeb2.com/file/EricZimmermanTools/net6/SumECmd.zip","SumECmd.zip","2023009","eae9c75d556a21b64178f61c4fdb911e71592438"
"False","https://f001.backblazeb2.com/file/EricZimmermanTools/TimelineExplorer.zip","TimelineExplorer.zip","63456641","0c9040c6fa5bd4c3b84da2d28f912ffadc2649bf"
"True","https://f001.backblazeb2.com/file/EricZimmermanTools/net6/TimelineExplorer.zip","TimelineExplorer.zip","86919521","103f8cc2731b3d5e1b1248939a2dd866d0d6bf15"
"False","https://f001.backblazeb2.com/file/EricZimmermanTools/VSCMount.zip","VSCMount.zip","3177299","4917f56dd1d48a93a6dfe2ebc0003396e193fd9b"
"True","https://f001.backblazeb2.com/file/EricZimmermanTools/net6/VSCMount.zip","VSCMount.zip","1546539","85c63b861c056960ae8729e0079bfa90d58c2a14"
"False","https://f001.backblazeb2.com/file/EricZimmermanTools/WxTCmd.zip","WxTCmd.zip","4141090","ca3edd57e9ccc14c434bf75540b4f0aa064b303e"
"True","https://f001.backblazeb2.com/file/EricZimmermanTools/net6/WxTCmd.zip","WxTCmd.zip","3698112","09d678e8b12c29eb03e82b44e4318abc674b5252"
"False","https://f001.backblazeb2.com/file/EricZimmermanTools/iisGeolocate.zip","iisGeolocate.zip","38438180","afd11d3360777c5d9e81be5ad7c09bdb2c9d538b"
"True","https://f001.backblazeb2.com/file/EricZimmermanTools/net6/iisGeolocate.zip","iisGeolocate.zip","36676319","c61cdb6c697328a6963a61059304fa62e5823a9e"
"False","https://f001.backblazeb2.com/file/EricZimmermanTools/TimeApp.zip","TimeApp.zip","182347","bc1b5d4c4f0249edd1c2e98574828bc5832fc44e"
"False","https://f001.backblazeb2.com/file/EricZimmermanTools/XWFIM.zip","XWFIM.zip","63531757","fb46349aab4811f672dcc61462d7c18d33e7b3bf"
"False","https://f001.backblazeb2.com/file/EricZimmermanTools/ChangeLog.txt","ChangeLog.txt","33067","156c2b413653c8c582aa07640876095acdebc619"
